NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       183    216.5052     44.1767     1151.045     99.02983        16  89.70   0    1.159
       184     68.9562     48.9901     672.4263     99.27803         8  54.92   0    1.004
       185    679.0302     43.7039     1336.765     99.18655        18  86.30   2    1.104
       186    764.3624     37.4488     2114.311     101.7421        41  47.07   2    1.167
       187    385.5360     39.9755     3450.011     105.1918        51 -10.71   0    1.268
       188    713.1802     39.8879      3212.29     103.9095        52 -23.48   2    1.457
       189    616.9628     47.5238     576.4536     98.51799        14 -38.13   0    2.001
       190    577.3956     44.8123     1412.785     100.4288        15 -63.08   2    1.388
       191    538.0649     46.1269     1355.024     100.0317        21 -50.08   0    1.081
       192    235.9363     46.4969     983.8607     98.91547        20 -26.46   2    1.084
       193    926.9081     46.2068     1130.936     99.78893        24 -22.93   2    1.390
       194    916.1467     26.6906     20511.54     136.6034       124 -51.15   0    1.144
       195    974.9822     39.0036     940.6107     99.35452        30 -77.14   0    1.745
       196   1023.4550     41.7439      1084.78     95.58521        16  88.11  26    1.649
       197    101.3760     46.8875     957.9049     98.85581        16  75.34   0    1.202
       198    554.1583     46.7336     812.8406     99.06181        16 -72.10   0    1.374
       199    952.8731     36.6307      2339.56     102.5047        31 -88.09   2    1.114
       200    601.0980     40.6825     770.3467     98.15224        25  69.66   2    1.791
       201    883.3520     47.6045     903.6682     99.26997        17 -30.07   2    1.178
       202    684.1987     42.9092     2401.024     102.6409        36 -27.19   2    1.121
       203    408.7966     48.9467      927.537     99.59283        17 -88.40   0    1.109
       204    987.2404     51.4235     615.7789     99.14826        12  57.50   0    1.313
       205    206.9815     37.5559     6012.525     110.8307        79  18.25   2    1.044
       206    790.9559     45.3922     966.3594     99.94865        31  -9.56   0    1.453
       207     55.2586     47.2886     763.9243     98.40884        18  44.74   0    1.590
       208    962.0358     50.2315     1401.739     100.9338        20   7.39   0    1.031
       209    349.0057     16.8490     5454.815     109.4376       100 -55.10   2    1.599
       210    456.1821     50.9845     855.4695     99.15957        21  25.90   2    1.162
       211   1017.5651     51.0122     847.9269     99.94626        17  65.05   0    1.350
       212    262.0625     45.1210     1199.056     99.40868        33  89.46   2    1.244
       213    650.8287     49.9393     1912.513     101.2904        32   0.59   2    1.416
       214    289.4777     48.1419     2204.217     101.6808        35  71.79   0    1.217
       215    353.1935     50.6411      1837.87     101.9111        30 -34.33   0    1.184
       216    813.4508     53.0140     1033.667     99.83472        14  88.25   0    1.129
       217    512.4442     58.1492     566.1702     98.76474        12 -18.29   0    1.723
       218    643.3086     52.5182     1167.866     99.60554        30  -1.16   2    1.663
       219     12.3160     49.1080     653.5278     98.42496        19  73.45   0    2.022
       220    803.4868     53.5821     730.3531      98.6022        15  59.38   0    1.388
       221    290.6606     56.4299     688.4808     98.50564         9  71.17   0    1.146
       222    899.9069     56.4605     901.8083     98.72676        13 -24.01   0    1.061
       223     10.4531     55.4898     578.6844     97.98009        16  28.37   0    2.518
       224    658.8505     57.2968     567.3158     97.68099         9  68.17   0    1.377
       225    612.5031     57.1843     624.5428     98.08641        13  -3.42   2    1.317
       226    707.5220     60.0410     630.4669     98.64251         8  -0.30   0    1.173
       227    559.7885     57.4055     850.7502     99.14875        16 -17.12   2    1.347
       228    695.9962     50.5154     1447.045     100.7714        35 -43.29   2    1.229
       229    605.0182     58.4832     787.8422     99.00444        11 -88.94   0    1.291
       230     90.3949     61.1874     474.4786     98.28246         5  71.43   0    1.654
       231    198.1282     61.1348     606.2447     98.31572         8 -43.57   0    1.246
       232    730.6902     28.3417     1332.573     99.71346        37  14.88   0    1.197
       233    853.1528     57.0936     1300.367     99.37193        21  50.52   0    1.099
       234    679.6870     49.5529     781.2979     98.44894        24 -56.28   2    2.069
       235     63.6949     59.4586     794.9684     98.20924        12  56.19   0    1.029
       236    618.5109     59.4299     831.0563     98.56375        19   9.92   2    1.731
       237    438.0521     59.9577     878.5169      99.4809        15   2.53   2    1.097
       238    512.6467     45.5230      1269.98     99.83826        51 -87.30   0    1.552
       239    341.8001     55.7007     1573.223     100.7912        21  73.04   0    1.090
       240    220.0096     62.9309      623.899     98.62738         9 -28.39   0    1.014
       241    596.4407     49.2967     1686.867     99.98554        40 -20.55   2    1.353
       242    922.2898     50.0894     1936.443      101.344        33 -51.25   2    1.129
       243    983.3911     56.1917     804.8952     99.04358        16 -83.32   2    1.404
       244    271.7800     25.4069     16053.19     129.3858       184 -86.23   2    1.320
       245    207.4545     54.7323     2199.424     101.9321        29 -88.34   0    1.068
       246    728.3731     57.8556     1273.586     100.1133        22 -20.38   2    1.289
       247    520.0814     59.5649     1134.409     99.79684        17 -32.54   0    1.109
       248    827.8358     62.3443     595.8096     98.56263        13  37.55   0    1.781
       249    732.8352     64.8468     640.3173     98.66521         8 -46.42   0    1.178
       250    922.3741     56.4872      726.429      98.3222        26  49.88   2    1.087
       251    417.9341     53.7402     4305.296     106.7742        48 -37.96   0    1.124
       252    469.2200     61.2396     1463.969     101.3374        20  81.10   0    1.036
       253    648.9910     60.8979     1364.956     100.3205        30  -6.80   0    1.406
