NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                     
       197    101.3760     46.8875     313.4606     46.19344        15  75.34   0    1.202
       198    554.1583     46.7336     348.0555     46.60812        16 -72.10   0    1.374
       199    952.8731     36.6307     949.6509     49.45472        42 -88.09   2    1.114
       200    601.0980     40.6825     271.9608     45.86492        19  69.66   2    1.791
       201    883.3520     47.6045     311.2108      46.4281        15 -30.07   2    1.178
       202    684.1987     42.9092      752.703     48.54119        38 -27.19   2    1.121
       203    408.7966     48.9467     339.1276     46.68659        16 -88.40   0    1.109
       204    987.2404     51.4235     216.9175     46.21111         9  57.50   0    1.313
       205    206.9815     37.5559     1595.292     52.55474        81  18.25   2    1.044
       206    790.9559     45.3922     401.2267     47.10885        28  -9.56   0    1.453
       207     55.2586     47.2886     308.7373     46.17019        17  44.74   0    1.590
       208    962.0358     50.2315     569.6764     47.91463        23   7.39   0    1.031
       209    349.0057     16.8490     1373.906     51.47807        87 -55.10   2    1.599
       210    456.1821     50.9845     427.3071     46.99298        22  25.90   2    1.162
       211   1017.5651     51.0122     305.0104     46.76418        17  65.05   0    1.350
       212    262.0625     45.1210     415.3602     46.69209        30  89.46   2    1.244
       213    650.8287     49.9393     715.3756     48.24833        31   0.59   2    1.416
       214    289.4777     48.1419     878.0451     48.89236        36  71.79   0    1.217
       215    353.1935     50.6411     688.6582     48.47571        34 -34.33   0    1.184
       216    813.4508     53.0140     417.7875     47.06795        16  88.25   0    1.129
       217    512.4442     58.1492     156.4226     45.78854         2 -18.29   0    1.723
       218    643.3086     52.5182     508.6208     47.26438        31  -1.16   2    1.663
       219     12.3160     49.1080     248.7362     45.99774        18  73.45   0    2.022
       220    803.4868     53.5821     244.6633     45.97762        10  59.38   0    1.388
       221    290.6606     56.4299     242.9259     45.96902        10  71.17   0    1.146
       222    899.9069     56.4605     389.8315     46.56767        14 -24.01   0    1.061
       223     10.4531     55.4898     210.8024     45.68556         8  28.37   0    2.518
       224    658.8505     57.2968      143.496     45.22386         1  68.17   0    1.377
       225    612.5031     57.1843     192.0244     45.59205        10  -3.42   2    1.317
       226    707.5220     60.0410     195.7721     45.85954         5  -0.30   0    1.173
       227    559.7885     57.4055       406.08     46.89021        17 -17.12   2    1.347
       228    695.9962     50.5154     620.3082     48.03589        38 -43.29   2    1.229
       229    605.0182     58.4832     271.5749     46.23368         8 -88.94   0    1.291
       230     90.3949     61.1874     189.9249     45.83055         4  71.43   0    1.654
       231    198.1282     61.1348     226.9209     45.88983         7 -43.57   0    1.246
       232    730.6902     28.3417     485.5087      47.0323        36  14.88   0    1.197
       233    853.1528     57.0936     491.3107     46.93927        22  50.52   0    1.099
       234    679.6870     49.5529     335.3387     46.30095        25 -56.28   2    2.069
       235     63.6949     59.4586      270.538     45.85787        13  56.19   0    1.029
       236    618.5109     59.4299     340.8352     46.32792        21   9.92   2    1.731
       237    438.0521     59.9577     350.1283     46.74011        14   2.53   2    1.097
       238    512.6467     45.5230     610.3842     47.75121        55 -87.30   0    1.552
       239    341.8001     55.7007     563.2088     47.64571        23  73.04   0    1.090
       240    220.0096     62.9309     300.8726     46.37747         9 -28.39   0    1.014
       241    596.4407     49.2967     623.3724     47.45465        38 -20.55   2    1.353
       242    922.2898     50.0894     706.8687     48.20824        37 -51.25   2    1.129
       243    983.3911     56.1917     310.8687     46.42643        16 -83.32   2    1.404
       244    271.7800     25.4069     13393.59      90.0117       190 -86.23   2    1.320
       245    207.4545     54.7323     777.8575     48.54176        33 -88.34   0    1.068
       246    728.3731     57.8556     511.4141       47.398        25 -20.38   2    1.289
       247    520.0814     59.5649     438.9888     47.04944        18 -32.54   0    1.109
       248    827.8358     62.3443     224.4208     46.00129         9  37.55   0    1.781
