NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                          
       318    758.2428     73.0297     677.4847     70.48278        23  24.72   0    1.098
       319    398.0554     54.0546     2773.792     76.94601        89  62.56   2    1.326
       320    594.8283     73.0018     550.9944     70.07372        18 -89.41   2    1.107
       321    687.3325     75.3366     687.1398     69.95793        11 -45.33   2    1.908
       322    861.7410     66.3287     1200.537     71.78793        51  -6.55   0    1.035
       323    366.1239     71.1051     900.8965     70.64895        34 -16.21   0    1.257
       324    567.0652     53.3210     13527.52     103.5889       107  56.14   2    1.075
       325    316.7409     66.3912     424.8251     69.47621        24  17.17   2    1.989
       326    456.9347     68.2569     603.1266       69.871        22 -85.00   2    1.581
       327    475.4777     72.2741     838.0807     70.07607        28  -4.13   0    1.037
       328    173.9152     75.6399     435.2336     68.94618        18  54.32   2    1.382
       329    491.5964     73.0209     366.5302     69.09713        18 -41.77   2    1.897
       330    248.4535     78.4306     420.1891      69.2734        14  -2.87   0    1.016
       331    693.3336     78.3208     581.2753     69.42593         9 -31.71   2    1.599
       332     29.1857     56.0774     1786.182     73.79527        49  50.90   0    1.029
       333    716.4905     72.9305     1097.638     71.27905        39  55.61   0    1.071
       334    906.3823     75.4910     342.3572     68.44945        14 -62.78   0    1.908
       335    836.3904     73.7485     843.7908     70.83349        30  49.21   0    1.190
       336    717.0444     83.9588     257.2415      68.5471         2 -15.45   0    1.735
       337    528.4127     74.5694     746.4395     70.70477        29  63.88   0    1.267
       338    193.3187     82.6887      408.041     69.04527        12 -42.80   0    1.194
       339    533.5156     80.1079      568.011     69.56984        22 -36.35   2    1.252
       340    853.6839      8.5257     1711.976     72.85521       101 -55.56   2    1.831
       341    632.8635     51.2736     15255.88     107.4351       183  59.81   2    1.037
       342    857.2882     81.1727     528.6507     69.25344        19  67.66   0    1.162
       343    843.7083     83.4718     353.3548     68.67575         9 -89.06   0    1.037
       344    881.3964     85.7882     197.0478     68.53741         0 -71.52   0    1.655
       345   1019.1703     88.3524     202.7502       68.935         0   1.96   0    3.221
       346    775.3336     76.8876     296.7115     68.48804        10  64.31   0    2.282
       347    295.5031     76.0843     296.6845     68.48795         8 -89.43   2    1.375
       348    289.9368     81.7294      449.007     69.36788        16 -28.21   0    1.133
       349    464.4326     82.2995     367.6545      68.3432        12  87.27   2    1.232
       350     22.4678     84.7237     381.3487     68.76833        13  -1.22   0    1.033
       351    850.3688     74.9917     804.3557     70.89069        33 -51.01   2    1.195
       352    397.6206     75.5380      1129.48     71.56262        41  19.73   2    1.031
       353    807.3114     80.2661     778.1326     70.06739        24  28.56   0    1.087
       354    669.3555     82.2829      339.853     68.63106        11  56.35   2    2.658
       355    645.9135     74.1099     1289.789     71.88911        74  28.54   0    2.032
       356    406.6953     59.9807      5687.93     84.35125       114  65.64   2    1.178
