NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       296     36.7457     29.6752     1783.125     215.3134        28  40.84   0    1.398
       297    549.3475     66.7118     1478.942     214.2777        15  85.14   0    1.200
       298    953.9274     71.5585     998.8699     214.7857         7  38.36   0    1.297
       299      3.4825     73.9834     963.6147      214.735         5  89.68   0    1.582
       300    979.5108     74.0273     619.9108     213.0367         1   1.24   0    1.162
       301    914.3103     68.8655     1571.148     214.4104        22  28.48   2    1.188
       302   1008.0748     57.5203     8722.277      223.895        73 -39.26   0    1.066
       303    608.7822     65.4182     1832.132     217.1671        25 -62.70   0    1.412
       304    540.3660     67.1884     2332.282     218.4661        33  22.45   2    1.100
       305    343.0135     72.5834     882.7309     214.6187         7  26.42   0    1.209
       306    872.0492     75.0977      606.954     212.4135         0 -19.36   0    2.808
       307    257.9557     51.9334     3793.088     218.7641        58  80.91   2    1.614
       308    448.0110     70.9766     796.6326     215.0935         3  89.71   0    1.424
       309    139.3501     73.3826     985.3398     215.9603         9 -40.30   0    1.149
       310    885.6204     76.2035     653.9046     214.2894         0 -72.32   0    1.658
       311    696.7769     44.4995     4638.372     217.6026        55 -68.11   2    1.385
       312    873.8186     58.0193      1819.13     217.1486        34  68.77   0    1.843
       313     96.3630     74.3759     988.4907     216.5593        10  47.53   0    1.167
       314    225.1941     74.5038     1051.653     214.8615         8  80.32   0    1.056
       315    170.4904     72.0326     1116.419     213.1525        13 -81.51   2    1.321
       316    211.3195     63.0179     2142.362     216.4226        46  71.23   0    1.487
       317    247.7099     68.5029     875.2117     213.4063        10 -79.81   0    1.884
       318    758.2428     73.0297     1696.722     216.9746        22  24.72   0    1.098
       319    398.0554     54.0546      7638.57     225.2682        88  62.56   2    1.326
       320    594.8283     73.0018     1379.849     216.5234        18 -89.41   2    1.107
       321    687.3325     75.3366     1858.691     215.4216        11 -45.33   2    1.908
       322    861.7410     66.3287     3311.231     218.0832        50  -6.55   0    1.035
       323    366.1239     71.1051     2412.113     216.2131        30 -16.21   0    1.257
       324    567.0652     53.3210     29078.21     251.4133       107  56.14   2    1.075
       325    316.7409     66.3912     1151.164     215.6016        16  17.17   2    1.989
       326    456.9347     68.2569     1549.876      215.576        21 -85.00   2    1.581
       327    475.4777     72.2741     2141.754      214.632        25  -4.13   0    1.037
       328    173.9152     75.6399     1283.573     213.9961        17  54.32   2    1.382
       329    491.5964     73.0209     1035.335     214.8381        15 -41.77   2    1.897
       330    248.4535     78.4306     1098.476     214.9288        10  -2.87   0    1.016
       331    693.3336     78.3208     1510.208     214.3227         9 -31.71   2    1.599
       332     29.1857     56.0774     4937.748     220.9558        49  50.90   0    1.029
       333    716.4905     72.9305     2832.345     216.8121        37  55.61   0    1.071
       334    906.3823     75.4910     854.6022      212.773         7 -62.78   0    1.908
       335    836.3904     73.7485     2101.328     216.9575        29  49.21   0    1.190
       336    717.0444     83.9588     738.8458     213.8112         1 -15.45   0    1.735
       337    528.4127     74.5694     1923.889     217.2975        26  63.88   0    1.267
       338    193.3187     82.6887     948.2522     214.1133         8 -42.80   0    1.194
       339    533.5156     80.1079     1497.742     214.9039        19 -36.35   2    1.252
       340    853.6839      8.5257     4745.085     218.3435        66 -55.56   2    1.831
       341    632.8635     51.2736     40122.59       265.11       182  59.81   2    1.037
       342    857.2882     81.1727     1454.491     214.2424        17  67.66   0    1.162
       343    843.7083     83.4718     901.6904     213.4446         7 -89.06   0    1.037
       344    881.3964     85.7882     544.5413     214.1318         0 -71.52   0    1.655
       345   1019.1703     88.3524     561.9004     215.3543         0   1.96   0    3.221
       346    775.3336     76.8876     887.8079     213.4245         8  64.31   0    2.282
       347    295.5031     76.0843     814.5965     213.3186         4 -89.43   2    1.375
       348    289.9368     81.7294     1121.661     214.9621        11 -28.21   0    1.133
       349    464.4326     82.2995     855.0062     212.1685         8  87.27   2    1.232
       350     22.4678     84.7237     1040.222     213.6448         9  -1.22   0    1.033
       351    850.3688     74.9917     1988.992     217.3899        33 -51.01   2    1.195
       352    397.6206     75.5380      3018.97     217.6692        40  19.73   2    1.031
       353    807.3114     80.2661     1883.666     214.8598        22  28.56   0    1.087
       354    669.3555     82.2829     678.4633     213.1216         2  56.35   2    2.658
       355    645.9135     74.1099     3621.122     217.9321        72  28.54   0    2.032
       356    406.6953     59.9807     16725.18     234.6679       114  65.64   2    1.178
       357    464.0689     75.8841     2894.291     216.3067        40 -41.50   2    1.124
       358    308.5366     86.7085     735.5509     213.2042         2 -16.47   0    1.125
       359    961.0030     86.8088     861.6588     214.5884         6  87.64   0    1.200
       360    408.0749     74.4042     3649.455     218.5613        61 -80.00   2    1.795
       361    900.9081     82.5902     1605.371     215.6554        23  10.61   0    1.189
       362    389.9555     70.1575     6059.384     220.7767        68 -34.78   2    1.400
       363    891.7659     83.4983     2282.264     214.2347        32  -8.65   0    1.139
       364    832.4115     86.0128     947.4664     214.7118         7 -60.71   0    1.278
       365    525.3077     88.3578      860.045     212.7809         6  43.32   0    1.112
       366    559.5171     88.2503     970.6143     213.5442         5   5.14   0    1.038
       367    681.3107     71.5104     2698.188     216.6211        54  58.03   2    1.656
       368    588.5411     76.1944     3606.263      219.088        66  64.97   2    1.398
       369    621.5421     79.8350      5157.31     220.6804        50 -49.47   0    1.082
       370    367.3161     82.4787     1472.147      213.667        22  33.18   2    1.098
       371    973.8482     84.5574      1766.55     216.4808        19 -53.06   0    1.113
       372    860.5182     87.3075     1159.814      214.418        15  38.30   0    1.681
       373    329.6710     89.3320     1399.886     214.7633        14 -45.55   2    1.169
       374    634.4652     67.5235     2895.326     216.3082        57 -57.31   2    2.378
       375    323.9730     78.1484     3426.841     218.8351        55 -64.69   0    1.229
       376    111.3891     87.7614     1439.825     217.2016        14 -84.16   0    1.056
       377    740.0707     80.6411     1807.336     215.9443        37 -79.65   2    1.258
       378    758.1401     90.4575     711.8449     215.5691         2 -48.91   0    1.475
       379    464.8800     47.1558     31965.87     254.9337       146 -87.51   2    1.107
       380    356.6136     82.5284     2349.405     217.3102        38  89.55   0    1.355
       381    137.9663     89.6183     1709.801     217.5849        31   7.78   0    1.876
       382    692.2576     71.6062     7762.327     224.8667        98  56.91   2    1.103
